string	citation	standard_citation	citation_id
@doi:10/cvvpkv	doi:10/cvvpkv	doi:10.1002/(sici)1096-987x(20000130)21:2<132::aid-jcc5>3.0.co;2-p	BkLoOd0N
@doi:10.1002/jcc.10128	doi:10.1002/jcc.10128	doi:10.1002/jcc.10128	LxrgIkt0
@doi:10.1002/jcc.20035	doi:10.1002/jcc.20035	doi:10.1002/jcc.20035	YmRgHfeU
@doi:10.1002/jcc.23398	doi:10.1002/jcc.23398	doi:10.1002/jcc.23398	W9FLyOZr
@doi:10.1007/s10822-014-9735-1	doi:10.1007/s10822-014-9735-1	doi:10.1007/s10822-014-9735-1	GA1AFcUw
@doi:10.1007/s10822-016-9977-1	doi:10.1007/s10822-016-9977-1	doi:10.1007/s10822-016-9977-1	T7iFp9ei
@doi:10.1021/acs.jctc.5b00405	doi:10.1021/acs.jctc.5b00405	doi:10.1021/acs.jctc.5b00405	1935a9V0d
@doi:10.1021/acs.jctc.7b00359	doi:10.1021/acs.jctc.7b00359	doi:10.1021/acs.jctc.7b00359	HVgz5rZq
@doi:10.1021/ct5004109	doi:10.1021/ct5004109	doi:10.1021/ct5004109	1HWPx2yMR
@doi:10.1021/ct5010406	doi:10.1021/ct5010406	doi:10.1021/ct5010406	IGZ99oJ8
@doi:10.1021/jp8001614	doi:10.1021/jp8001614	doi:10.1021/jp8001614	uZnQBwCt
@doi:10.1021/jp962715n	doi:10.1021/jp962715n	doi:10.1021/jp962715n	1236RpaUv
@doi:10.1063/1.445869	doi:10.1063/1.445869	doi:10.1063/1.445869	chrX4HGh
@doi:10.1063/1.457480	doi:10.1063/1.457480	doi:10.1063/1.457480	htck51Lp
@url:www.ambermd.org	url:www.ambermd.org	url:www.ambermd.org	197xzzCJg
