  Host-guest ID , Host , Guest , Charge , SMILES ,
 --- , --- , --- , --- , --- , 
  a-bam , αCD , 1-butylamine ,1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]` ,
  a-nmb , αCD , n-methylbutylamine,1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])[H]` ,
  a-mba , αCD , 1-methylbutylamine^a^ ,1, `[H][C@@](C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])[H])[N+]([H])([H])[H]` ,
  a-pam , αCD , 1-pentylamine,1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]` ,
  a-ham , αCD , 1-hexylamine,1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]` ,
  a-nmh , αCD , n-methylhexylamine ,1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])[H]` ,
  a-mha , αCD , 1-methylhexylamine^a^ ,1, `[H][C@@](C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[N+]([H])([H])[H]` ,
  a-hpa , αCD , 1-heptylamine ,1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]` ,
  a-mhp , αCD , 1-methylheptylamine^b^ ,1, `[H][C@](C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[N+]([H])([H])[H]` ,
  a-oam , αCD , 1-octylamine ,1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]` ,
  b-ham , βCD , 1-hexylamine ,1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]` ,
  b-mha , βCD , 1-methylhexylamine^a^ ,1, `[H][C@@](C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[N+]([H])([H])[H]` ,
  b-oam , βCD , 1-octylamine ,1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]` ,
  a-cbu , αCD , cyclobutanol ,0, `[H]C1(C(C(C1([H])[H])([H])O[H])([H])[H])[H]` ,
  a-cpe , αCD , cyclopentanol ,0, `[H]C1(C(C(C(C1([H])[H])([H])O[H])([H])[H])([H])[H])[H]` ,
  a-chp , αCD , cycloheptanol ,0, `[H]C1(C(C(C(C(C(C1([H])[H])([H])[H])([H])O[H])([H])[H])([H])[H])([H])[H])[H]` ,
  a-coc , αCD , cyclooctanol ,0, `[H]C1(C(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])O[H])([H])[H])([H])[H])([H])[H])[H]` ,
  b-cbu , βCD , cyclobutanol ,0, `[H]C1(C(C(C1([H])[H])([H])O[H])([H])[H])[H]` ,
  b-cpe , βCD , cyclopentanol ,0, `[H]C1(C(C(C(C1([H])[H])([H])O[H])([H])[H])([H])[H])[H]` ,
  b-mch , βCD , 1-methylcyclohexanol ,0, `[H]C1(C(C(C(C(C1([H])[H])([H])[H])(C([H])([H])[H])O[H])([H])[H])([H])[H])[H]` ,
  b-m4c , βCD , cis-4-methylcyclohexanol ,0, `[H]C1(C(C(C(C(C1([H])C([H])([H])[H])([H])[H])([H])[H])([H])O[H])([H])[H])[H]` ,
  b-m4t , βCD , trans-4-methylcyclohexanol ,0, `[H]C1(C(C(C(C(C1([H])C([H])([H])[H])([H])[H])([H])[H])([H])O[H])([H])[H])[H]` ,
  b-chp , βCD , cycloheptanol ,0, `[H]C1(C(C(C(C(C(C1([H])[H])([H])[H])([H])O[H])([H])[H])([H])[H])([H])[H])[H]` ,
  b-coc , βCD , cyclooctanol ,0, `[H]C1(C(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])O[H])([H])[H])([H])[H])([H])[H])[H]` ,
  a-but , αCD , butanoate ,-1, `[H]C([H])([H])C([H])([H])C([H])([H])[C-]([O-])[O-]` ,
  a-pnt , αCD , pentanoate ,-1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C-]([O-])[O-]` ,
  a-hex , αCD , hexanoate ,-1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C-]([O-])[O-]` ,
  a-hx2 , αCD , trans-2-hexenoate ,-1, `[H]/C(=C(/[H])\\C([H])([H])C([H])([H])C([H])([H])[H])/[C-]([O-])[O-]` ,
  a-hx3 , αCD , trans-3-hexenoate ,-1, `[H]/C(=C(/[H])\\C([H])([H])C([H])([H])[H])/C([H])([H])[C-]([O-])[O-]` ,
  a-hep , αCD , heptanoate ,-1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C-]([O-])[O-]` ,
  a-hp6 , αCD , 6-heptenoate ,-1, `[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C-]([O-])[O-])[H]` ,
  a-oct , αCD , octanoate ,-1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C-]([O-])[O-]` ,
  b-pnt , βCD , pentanoate ,-1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C-]([O-])[O-]` ,
  b-hex , βCD , hexanoate ,-1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C-]([O-])[O-]` ,
  b-hep , βCD , heptanoate ,-1, `[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C-]([O-])[O-]` ,
  b-ben , βCD , benzoate ,-1, `[H]c1c(c(c(c(c1[H])[H])[C-]([O-])[O-])[H])[H]` ,
  b-pha , βCD , phenylacetate ,-1, `[H]c1c(c(c(c(c1[H])[H])C([H])([H])[C-]([O-])[O-])[H])[H]` ,
  b-mp3 , βCD , 3-methylphenylacetate ,-1, `[H]c1c(c(c(c(c1[H])C([H])([H])[C-]([O-])[O-])[H])C([H])([H])[H])[H]` ,
  b-mp4 , βCD , 4-methylphenylacetate ,-1, `[H]c1c(c(c(c(c1C([H])([H])[H])[H])[H])C([H])([H])[C-]([O-])[O-])[H]` ,
  b-mo3 , βCD , 3-methoxyphenylacetate ,-1, `[H]c1c(c(c(c(c1[H])OC([H])([H])[H])[H])C([H])([H])[C-]([O-])[O-])[H]` ,
  b-mo4 , βCD , 4-methoxyphenylacetate ,-1, `[H]c1c(c(c(c(c1C([H])([H])[C-]([O-])[O-])[H])[H])OC([H])([H])[H])[H]` ,
  b-pb3 , βCD , 3-phenylbutanoate ,-1, `[H]c1c(c(c(c(c1[H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])[C-]([O-])[O-])[H])[H]` ,
  b-pb4 , βCD , 4-phenylbutanoate ,-1, `[H]c1c(c(c(c(c1[H])[H])C([H])([H])C([H])([H])C([H])([H])[C-]([O-])[O-])[H])[H]` ,
