   ,  ,  ,  ,  ,  , SMIRNOFF99Frosst , GAFF v2.1 
 --- , --- , --- , --- , --- , --- , --- , --- 
  Atom 1 , Atom 2 , Atom 3 , Atom 4 , Per , Phase , Height (kcal/mol) , Height (kcal/mol) 
  C1 , C2 , O2 , HO2 ,1,0,0.25, NP 
  C1 , C2 , O2 , HO2 ,3,0,0.16,0
  C1 , O5 , C5 , C4 ,1,0, NP ,0
  C1 , O5 , C5 , C4 ,2,0,0.1,0.16
  C1 , O5 , C5 , C4 ,3,0,0.38,0.24
  C1 , O5 , C5 , C6 ,1,0, NP ,0
  C1 , O5 , C5 , C6 ,2,0,0.1,0.16
  C1 , O5 , C5 , C6 ,3,0,0.38,0.24
  C2 , C1 , O5 , C5 ,1,0, NP ,0
  C2 , C1 , O5 , C5 ,2,0,0.1,0.16
  C2 , C1 , O5 , C5 ,3,0,0.38,0.24
  C2 , C3 , O3 , HO3 ,1,0,0.25, NP 
  C2 , C3 , O3 , HO3 ,3,0,0.16,0
  C5 , C6 , O6 , HO6 ,1,0,0.25, NP 
  C5 , C6 , O6 , HO6 ,3,0,0.16,0
  H1 , C1 , C2 , O2 ,1,0,0.25, NP 
  H1 , C1 , C2 , O2 ,3,0,0,0.16
  O1 , C1 , C2 , O2 ,1,0, NP ,0.02
  O1 , C1 , C2 , O2 ,2,0,1.18,0
  O1 , C1 , C2 , O2 ,3,0,0.14,1.01
  O2 , C2 , C1 , O5 ,1,0, NP ,0.02
  O2 , C2 , C1 , O5 ,2,0,1.18,0
  O2 , C2 , C1 , O5 ,3,0,0.14,1.01
  O5 , C5 , C6 , O6 ,1,0, NP ,0.02
  O5 , C5 , C6 , O6 ,2,0,1.18,0
  O5 , C5 , C6 , O6 ,3,0,0.14,1.01
  HO2 , O2 , C2 , C3 ,1,0,0.25, NP 
  HO2 , O2 , C2 , C3 ,3,0,0.16,0
  HO3 , O3 , C3 , C4 ,1,0,0.25, NP 
  HO3 , O3 , C3 , C4 ,3,0,0.16,0
