      ,      , RMSE ,      ,  MSE ,      ,   R¬≤ ,      , Slope ,      , Intercept ,      , Tau ,    ,
  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  , --- , --- ,
ΔG°, SMIRNOFF99Frosst ,0.91," [0.71, 1.13] ",-0.01," [-0.28, 0.26] ",0.34," [0.12, 0.56] ",0.49," [0.26, 0.72] ",-1.55," [-0.80, -2.29] ",0.4," [0.57, 0.23] ", 
ΔG°, GAFF v1.7 ,0.88," [0.72, 1.08] ",0.46," [0.23, 0.69] ",0.54," [0.33, 0.71] ",0.69," [0.47, 0.91] ",-0.48," [0.22, -1.16] ",0.52," [0.65, 0.38] ", 
ΔG°, GAFF v2.1 ,1.68," [1.51, 1.85] ",-1.56," [-1.74, -1.37] ",0.82," [0.61, 0.92] ",1.19," [0.96, 1.34] ",-1," [-0.52, -1.62] ",0.73," [0.82, 0.61] ", 
ΔH, SMIRNOFF99Frosst ,1.85," [1.41, 2.30] ",0.76," [0.26, 1.28] ",0.44," [0.21, 0.66] ",0.85," [0.54, 1.19] ",0.41," [1.55, -0.50] ",0.53," [0.69, 0.34] ", 
ΔH, GAFF v1.7 ,2.54," [2.08, 3.00] ",1.84," [1.31, 2.37] ",0.39," [0.17, 0.62] ",0.8," [0.47, 1.18] ",1.36," [2.67, 0.31] ",0.5," [0.65, 0.32] ", 
ΔH, GAFF v2.1 ,2.21," [1.77, 2.65] ",-1.64," [-2.10, -1.20] ",0.75," [0.58, 0.87] ",1.38," [1.15, 1.63] ",-0.69," [0.16, -1.43] ",0.67," [0.79, 0.52] ", 
−TΔS°, SMIRNOFF99Frosst ,1.9," [1.49, 2.32] ",-0.78," [-1.29, -0.24] ",0.4," [0.14, 0.63] ",0.9," [0.51, 1.29] ",-0.83," [-0.34, -1.34] ",0.33," [0.50, 0.13] ", 
−TΔS°, GAFF v1.7 ,2.21," [1.74, 2.68] ",-1.38," [-1.90, -0.86] ",0.43," [0.16, 0.68] ",0.95," [0.54, 1.38] ",-1.41," [-0.96, -1.89] ",0.32," [0.50, 0.10] ", 
−TΔS°, GAFF v2.1 ,1.8," [0.68, 3.19] ",0," [-0.98, 1.27] ",0.48," [0.00, 0.97] ",1.13," [-0.22, 1.96] ",0.08," [1.14, -1.79] ",0.46," [0.82, -0.02] ",
