 ,   ,  ,  ,  ,  ,  , SMIRNOFF99Frosst , GAFF v2.1 ,
 --- , --- , --- , --- , --- , --- , --- , --- , --- , --- 
 SMIRKS ,  Atom 1 , Atom 2 , Atom 3 , Atom 4 , Per , Phase , Height (kcal/mol) , Height (kcal/mol) ,
 [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4] ,  C1 , C2 , C3 , C4 ,1,0,0.2,0.11,
 [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4] ,  C1 , C2 , C3 , C4 ,2,0,0.25,0.29,
 [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4] ,  C1 , C2 , C3 , C4 ,3,0,0.18,0.13,
 [*:1]-[#6X4:2]-[#6X4:3]-[*:4] ,  C1 , C2 , C3 , O3 ,3,0,0.16,0.21,
 [*:1]-[#6X4:2]-[#8X2H0:3]-[*:4] ,  C1 , O5 , C5 , H5 ,3,0,0.38,0.34,
 [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4] ,  C2 , C3 , C4 , C5 ,1,0,0.2,0.11,
 [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4] ,  C2 , C3 , C4 , C5 ,2,0,0.25,0.29,
 [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4] ,  C2 , C3 , C4 , C5 ,3,0,0.18,0.13,
 [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4] ,  C3 , C4 , C5 , C6 ,1,0,0.2,0.11,
 [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4] ,  C3 , C4 , C5 , C6 ,2,0,0.25,0.29,
 [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4] ,  C3 , C4 , C5 , C6 ,3,0,0.18,0.13,
 [*:1]-[#6X4:2]-[#6X4:3]-[*:4] ,  C4 , C5 , C6 , O6 ,3,0,0.16,0.21,
 [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4] ,  H1 , C1 , C2 , H2 ,3,0,0.15,0.16,
 [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4] ,  H2 , C2 , C3 , H3 ,3,0,0.15,0.16,
 [*:1]-[#6X4:2]-[#8X2:3]-[#1:4] ,  H2 , C2 , O2 , HO2 ,3,0,0.17,0.11,
 [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4] ,  H3 , C3 , C4 , H4 ,3,0,0.15,0.16,
 [*:1]-[#6X4:2]-[#8X2:3]-[#1:4] ,  H3 , C3 , O3 , HO3 ,3,0,0.17,0.11,
 [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4] ,  H4 , C4 , C5 , H5 ,3,0,0.15,0.16,
 [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4] ,  H5 , C5 , C6 , H61 ,3,0,0.15,0.16,
 [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4] ,  H5 , C5 , C6 , H62 ,3,0,0.15,0.16,
 [#6X4:1]-[#8X2:2]-[#6X4:3]-[#8X2:4] ,  O1 , C1 , O5 , C5 ,1,0,1.35,0.97,
 [#6X4:1]-[#8X2:2]-[#6X4:3]-[#8X2:4] ,  O1 , C1 , O5 , C5 ,2,0,0.85,1.24,
 [#6X4:1]-[#8X2:2]-[#6X4:3]-[#8X2:4] ,  O1 , C1 , O5 , C5 ,3,0,0.1,0,
 [*:1]-[#6X4:2]-[#6X4:3]-[*:4] ,  O2 , C2 , C3 , C4 ,3,0,0.16,0.21,
 [#8X2:1]-[#6X4:2]-[#6X4:3]-[#8X2:4] ,  O2 , C2 , C3 , O3 ,2,0,1.18,1.13,
 [#8X2:1]-[#6X4:2]-[#6X4:3]-[#8X2:4] ,  O2 , C2 , C3 , O3 ,3,0,0.14,0.9,
 [*:1]-[#6X4:2]-[#6X4:3]-[*:4] ,  O3 , C3 , C4 , C5 ,3,0,0.16,0.21,
 [*:1]-[#6X4:2]-[#8X2:3]-[#1:4] ,  H61 , C6 , O6 , HO6 ,3,0,0.17,0.11,
 [*:1]-[#6X4:2]-[#8X2:3]-[#1:4] ,  H62 , C6 , O6 , HO6 ,3,0,0.17,0.11,
