   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , SMIRNOFF99Frosst , GAFF v2.1 
 --- , --- , --- , --- , --- , --- , --- , --- , --- , --- , --- , --- , --- 
  ID , Atom 1 , Res 1 , Atom 2 , Res 2 , Atom 3 , Res 3 , Atom 4 , Res 4 , Per , Phase , Height (kcal/mol) , Height (kcal/mol) 
1, C1 , *n* , O1 , *n* , C4 , *n+1* , C3 , *n+1* ,1,0, NP ,0
   , C1 , *n* , O1 , *n* , C4 , *n+1* , C3 , *n+1* ,2,0,0.1,0.16
   , C1 , *n* , O1 , *n* , C4 , *n+1* , C3 , *n+1* ,3,0,0.38,0.24
2, C1 , *n* , O1 , *n* , C4 , *n+1* , C5 , *n+1* ,1,0, NP ,0
   , C1 , *n* , O1 , *n* , C4 , *n+1* , C5 , *n+1* ,2,0,0.1,0.16
   , C1 , *n* , O1 , *n* , C4 , *n+1* , C5 , *n+1* ,3,0,0.38,0.24
3, C2 , *n* , C1 , *n+1* , O1 , *n+1* , C4 , *n+1* ,1,0, NP ,0
   , C2 , *n* , C1 , *n+1* , O1 , *n+1* , C4 , *n+1* ,2,0,0.1,0.16
   , C2 , *n* , C1 , *n+1* , O1 , *n+1* , C4 , *n+1* ,3,0,0.38,0.24
4, O1 , *n* , C4 , *n+1* , C3 , *n+1* , O3 , *n+1* ,1,0, NP ,0.02
   , O1 , *n* , C4 , *n+1* , C3 , *n+1* , O3 , *n+1* ,2,0,1.18,0
   , O1 , *n* , C4 , *n+1* , C3 , *n+1* , O3 , *n+1* ,3,0,0.14,1.01
5, O1 , *n* , C4 , *n+1* , C5 , *n+1* , O5 , *n+1* ,1,0, NP ,0.17
   , O1 , *n* , C4 , *n+1* , C5 , *n+1* , O5 , *n+1* ,2,0,1.18,0
   , O1 , *n* , C4 , *n+1* , C5 , *n+1* , O5 , *n+1* ,3,0,0.14,0
