  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  , --- , --- ,
ΔG°, SMIRNOFF99Frosst ,0.76," [0.43, 1.11] ",-0.1," [-0.54, 0.31] ",0.48," [0.07, 0.84] ",0.69," [0.19, 1.16] ",-1.06," [0.54, -2.77] ",0.44," [0.75, 0.04] ", 
ΔG°, GAFF v1.7 ,0.77," [0.59, 0.95] ",0.69," [0.51, 0.88] ",0.9," [0.76, 0.98] ",1.08," [0.88, 1.26] ",0.95," [1.56, 0.32] ",0.74," [0.91, 0.50] ", 
ΔG°, GAFF v2.1 ,1.85," [1.59, 2.09] ",-1.79," [-2.04, -1.53] ",0.93," [0.83, 0.98] ",1.32," [1.13, 1.51] ",-0.8," [-0.20, -1.46] ",0.76," [0.92, 0.53] ", 
ΔH, SMIRNOFF99Frosst ,1.15," [0.77, 1.51] ",0.83," [0.39, 1.27] ",0.89," [0.76, 0.97] ",1.15," [0.89, 1.53] ",1.31," [2.81, 0.38] ",0.78," [0.92, 0.56] ", 
ΔH, GAFF v1.7 ,2.12," [1.77, 2.47] ",2.02," [1.67, 2.37] ",0.92," [0.80, 0.98] ",1.09," [0.86, 1.35] ",2.29," [3.34, 1.39] ",0.75," [0.90, 0.54] ", 
ΔH, GAFF v2.1 ,1.9," [1.31, 2.43] ",-1.51," [-2.15, -0.88] ",0.96," [0.91, 0.99] ",1.54," [1.38, 1.83] ",0.09," [1.18, -0.44] ",0.81," [0.95, 0.62] ", 
−TΔS°, SMIRNOFF99Frosst ,1.47," [0.90, 2.10] ",-0.93," [-1.59, -0.31] ",0.65," [0.13, 0.91] ",0.99," [0.58, 1.35] ",-0.88," [-0.09, -1.66] ",0.26," [0.64, -0.26] ", 
−TΔS°, GAFF v1.7 ,1.45," [1.14, 1.79] ",-1.33," [-1.66, -1.00] ",0.88," [0.18, 0.97] ",1.04," [-0.02, 1.37] ",-1.27," [-0.55, -1.62] ",0.28," [0.64, -0.21] ", 
−TΔS°, GAFF v2.1 ,1.04," [0.67, 1.40] ",-0.27," [-0.84, 0.26] ",0.89," [0.29, 0.98] ",1.36," [-0.53, 1.66] ",-0.12," [1.16, -0.59] ",0.23," [0.62, -0.26] ", 
